,dataSetName,archiveType,geo_meanLat,geo_meanLon,geo_meanElev,paleoData_variableName,paleoData_units,paleoData_proxy,paleoData_proxyGeneral,time_variableName,compilationName,TSID
0,LS16STCL,LakeSediment,50.83,-116.39,1126.0,d18O,permil,d18O,,year,iso2k,LPD7dc5b9ba
1,CO00URMA,Coral,0.933,173.0,6.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_177
4,CO05KUBE,Coral,32.467,-64.7,-12.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_105
5,IC13THQU,GlacierIce,-13.9333,-70.8333,5670.0,d18O,permil,d18O,,year,iso2k,SAm_035
6,CO01TUNG,Coral,-5.217,145.817,-3.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_140
7,CO01TUNG,Coral,-5.217,145.817,-3.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_141
8,CO06MOPE,Coral,16.75,-22.8883,-5.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_107
9,CO03COPM,Coral,5.87,-162.13,-7.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_139
10,CO00DRBE,Coral,32.3,-64.7,-25.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_125
11,CO00DRBE,Coral,32.3,-64.7,-25.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_124
12,CO98EVXM,Coral,1.6792,-157.2473,9.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_135
13,CO07CAFR,Coral,-17.73,148.43,-5.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_193
14,CO14OSPA,Coral,7.2859,134.2503,-12.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_181
15,CO14OSPA,Coral,7.2859,134.2503,-12.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_183
16,CO05BAFI,Coral,-16.8167,179.2333,-2.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_142
17,CO14ZIHO,Coral,-28.4589,113.749,-8.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_026
18,CO98BOFP,Coral,-17.5,-149.8333,-5.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_132
19,CO14ZIMG,Coral,-23.3572,43.6195,-1.1,d18O,permil,d18O,,year,iso2k,Ocean2kHR_022
20,CO14ZIMG,Coral,-23.3572,43.6195,-1.1,d18O,permil,d18O,,year,iso2k,Ocean2kHR_021
21,CO04ZIMG,Coral,-23.15,43.58,-1.1,d18O,permil,d18O,,year,iso2k,Ocean2kHR_020
22,SS03HAJA,Sclerosponge,18.47,-77.95,-20.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_128
23,SS03HAJA,Sclerosponge,18.47,-77.95,-20.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_126
24,CO04KIVA,Coral,-15.7,167.2,-1.5,d18O,permil,d18O,,year,iso2k,Ocean2kHR_174
25,CO06MOTO,Coral,11.17,-60.85,-2.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_110
26,CO06MOTO,Coral,11.17,-60.85,-2.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_108
27,CO06DATZ,Coral,-8.0167,39.5,-6.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_007
28,CO00FERA,Coral,27.85,34.32,-6.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_019
29,CO06QUNG,Coral,-4.1916,151.9772,-8.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_144
30,CO95TUNG,Coral,-5.22,145.82,-3.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_172
31,CO02KUBE,Coral,32.47,-64.7,-11.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_102
32,CO06LIFI,Coral,-16.8167,179.2333,-10.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_156
33,CO08GOBE,Coral,30.6486,-64.9888,-16.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_094
34,LS16STPA,LakeSediment,54.685,-122.617,733.0,d18O,permil,d18O,,year,iso2k,LPD179d915e
35,CO94LISE,Coral,7.98,-82.05,-3.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_138
36,LS13YUSA,LakeSediment,37.675,-105.723,2293.0,d18O,permil,d18O,,year,iso2k,GH8f461f71
37,CO10HEIG,Coral,16.2,-61.49,-1.7,d18O,permil,d18O,,year,iso2k,Ocean2kHR_097
