paleoData_pastName,paleoData_pastId,lipdName,synonym,paleoData_isAssemblage,paleoData_datum,paleoData_summaryStatistic,paleoData_measurementMaterial,paleoData_inferredMaterial,paleoData_method,paleoData_isPrimary,Freq,definition
232Th,2437,232Th,232Th,,,,,,,,,
238U,2439,238U,238U,,,,,,,,,
accumulation rate,618,accumulation,accumulation,,,,,,,,10,
accumulation rate,618,accumulation,Accumulation rate ice (kg/m2/yr),,,rate,ice,,,,7,
accumulation rate,618,accumulation,acc,,,,,,,,1,
accumulation rate,618,accumulation,Accumulation,,,,,,,,,
accumulation rate,618,accumulation,Ice Accumulation,,,,,,,,1,
average chain length,4170,ACL,ACL,,,,,,,,4,
,,acinocyclus.Curvatulus,Acinocyclus. curvatulus,TRUE,,,,,,,1,
average chain length,4170,ACL,AverageChainLength20to30,,,,20-30,,,,2,
average chain length,4170,ACL,AverageChainLength20to32,,,,20-32,,,,2,
average chain length,4170,ACL,ACL (27-33),,,,27-33,,,,1,
average chain length,4170,ACL,ACL25-35,,,,25-35,,,,1,
average chain length,4170,ACL,ACL27-31,,,,27-31,,,,1,
average chain length,4170,ACL,ACLC22-30,,,,22-30,,,,1,
average chain length,4170,ACL,Average Chain Length,,,,,,,,1,
missing,missing,AET/PET,AET/PET,,,,,,,,1,
missing,missing,Al/Si,Al/Si,,,,,,,,,
missing,missing,Al/Si,ln(Al/Si),,,,,,,,,
,,n-alkane,,,,,,,,,,
,,n-alkaneRatio,Norm33,,,,,,,,,
age,241,age,age,,,,,,,TRUE,5297,
age,241,age,ageMedian,,,median,,,,FALSE,2488,
age,241,age,ageOriginal,,,,,,original,FALSE,260,
age,241,age,ageMedianBacon,,,median,,,Bacon,FALSE,259,
age,241,age,agelinInterp,,,,,,linInterp,FALSE,210,
age,241,age,ageBchron,,,,,,Bchron,FALSE,200,
age,241,age,agecopRa,,,,,,copRa,FALSE,200,
age,241,age,ageDuplicate,,,duplicate,,,,FALSE,195,
age,241,age,ageStalAge,,,,,,StalAge,FALSE,153,
age,241,age,ageBacon,,,,,,Bacon,FALSE,151,
age,241,age,agelinReg,,,,,,linReg,FALSE,81,
age,241,age,ageOxCal,,,,,,OxCal,FALSE,58,
age,241,age,Age,,,,,,,,4,
age,241,age,medianAge,,,median,,,,FALSE,3,
age,241,age,ageEnsemble,,,,,,ensemble,FALSE,2,
age,241,age,ageMarine09,,,,,,Marine09,FALSE,2,
age,241,age,Median cal age,,,,,,,FALSE,2,
age,241,age,SHCal04Age,,,,,,SHCal04Age,FALSE,2,
age,241,age,age_alt,,,,,,,FALSE,1,
age,241,age,age_Calibrated,,,,,,,FALSE,1,
age,241,age,Age_original,,,,,,,FALSE,1,
age,241,age,ageOther,,,,,,,FALSE,1,
age,241,age,ageRounded,,,,,,,FALSE,1,
age,241,age,IntCal09Age,,,,,,IntCal09,FALSE,1,
age,241,age,Marine09,,,,,,Marine09,FALSE,1,
age,241,age,varveCountedAgeAD0x2FBC,,,,,,,FALSE,1,
age,241,age,varveCountedAgeKa,,,,,,,FALSE,1,
radiocarbon year,3914,age14C,age14C,,,,,,,,10,
radiocarbon year,3914,age14C,c14age,,,,,,,,6,
radiocarbon year,3914,age14C,C14age,,,,,,,,1,
radiocarbon year,3914,age14C,radiocarbonDatesAD0x2FBC,,,,,,radiocarbon Dates,,1,
aluminum,774,Al,Al,,,,,,,,8,
aluminum,774,Al,AlProp,,,prop,,,,,2,
aluminum,774,Al,Al peak area,,,,,,peak area,,1,
aluminum oxide,305,Al2O3,AL2O3,,,,,,,,1,
aluminum oxide,305,Al2O3,Al2O3,,,,,,,,1,
ammonium,826,ammonium,ammonium,,,,,,,,2,
ammonium,826,ammonium,NH4_,,,,,,,,1,
ampere,1254,amps,Amps,,,,,,,,1,
aragonite,1519,aragonite,Aragonite,,,,,,,,1,
anhysteretic remanent magnetization/isothermal remanent magnetization,1790,ARM/IRM,arm_irm,,,,,,,,1,
